Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /inventory/{id},1374,0,25,28.706457787461627,10.281499999109656,229.68390000096406,86.68122270742359,4.599176312572564,0.0,25,31,35,37,45,52,68,80,230,230,230
GET,GET /orders,1065,0,11,13.16722516423969,3.984900002251379,77.33559999905992,3388.5079812206573,3.5648637357276427,0.0,11,13,15,16,20,26,42,52,66,77,77
GET,GET /products,6906,1,35,44.08848754707873,5.219500002567656,500.03819999983534,6750.022444251375,23.116383999000092,0.003347289892702012,35,44,52,58,76,97,130,170,400,500,500
GET,GET /products/{id},4215,1,31,38.57374683273645,10.184399998252047,397.0902999972168,269.74187425860026,14.108826897738979,0.003347289892702012,31,40,46,52,71,88,110,130,340,400,400
GET,GET /products?category,3027,0,35,44.22792666004507,12.132500000006985,537.221700000373,6787.0,10.13224650520899,0.0,35,44,52,59,79,98,130,150,400,540,540
GET,GET /users/me,668,0,8,11.42933937130774,3.988299999036826,630.1114999987476,192.0,2.235989648324944,0.0,8,8,9,10,11,13,16,86,630,630,630
POST,POST /auth/login,100,0,750,770.2353839999705,255.7782000003499,1573.6187000002246,1592.0,0.33472898927020117,0.0,760,790,890,910,980,1200,1600,1600,1600,1600,1600
POST,POST /orders,1726,1,97,109.01661274627192,17.02369999838993,689.9258000012196,397.03418308227117,5.777422354803672,0.003347289892702012,97,120,130,140,170,210,250,310,530,690,690
POST,POST /users/register,100,0,750,797.2202930001004,220.30879999874742,1609.7284000024956,192.0,0.33472898927020117,0.0,760,900,970,1000,1300,1600,1600,1600,1600,1600,1600
,Aggregated,19181,3,33,52.49727228507718,3.984900002251379,1609.7284000024956,3806.718314999218,64.20436743191729,0.010041869678106035,33,45,55,64,92,130,210,480,1100,1600,1600
