Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /inventory/{id},933,0,16,28.402578456567106,10.245600002235733,242.14999999821885,85.94962486602358,2.5950102327684186,0.0,16,19,25,36,65,94,130,150,240,240,240
GET,GET /orders,189,137,117000,121500.4453994707,6.412599999748636,291076.7360000027,51.682539682539684,0.5256773140334738,0.3810465186380207,117000,166000,192000,218000,268000,271000,285000,290000,291000,291000,291000
GET,GET /products,4743,2,20,104.02314520344565,11.865500000567408,1423.4247999993386,6724.16339869281,13.191997356935271,0.00556272289982512,20,29,46,76,410,590,790,940,1200,1400,1400
GET,GET /products/{id},2741,0,18,105.59897770889609,9.991400002036244,1360.0002999992284,270.0897482670558,7.623711734210326,0.0,18,27,42,79,420,610,810,990,1300,1400,1400
GET,GET /products?category,2116,0,21,109.05996838372818,12.16779999958817,1348.6881999997422,6784.0,5.885360828014977,0.0,21,30,47,91,420,620,790,920,1300,1300,1300
GET,GET /users/me,274,28,310,13723.527801095099,3.8650999995297752,86160.68840000298,174.44890510948906,0.7620930372760414,0.07787812059755168,320,1400,3300,26000,58000,80000,84000,86000,86000,86000,86000
POST,POST /auth/login,500,37,1600,6741.729059799984,6.081200001062825,61405.97259999777,1476.144,1.39068072495628,0.10291037364676472,1600,2000,2500,2900,31000,59000,61000,61000,61000,61000,61000
POST,POST /orders,378,235,113000,115748.48329497357,46.672800002852455,291631.2837000005,163.16402116402116,1.0513546280669477,0.6536199407294516,113000,167000,215000,218000,247000,270000,281000,289000,292000,292000,292000
POST,POST /users/register,500,18,1200,4016.584098399929,204.2342999993707,60863.083799999,185.844,1.39068072495628,0.05006450609842608,1200,1600,2100,2400,3600,31000,59000,59000,61000,61000,61000
,Aggregated,12374,457,22,6214.321410780657,3.8650999995297752,291631.2837000005,3880.5879262970743,34.416566581218014,1.2710821826100398,22,47,230,430,1100,4100,139000,218000,278000,291000,292000
