Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787087947,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787087948,10,,Aggregated,0.000000,0.000000,110,150,190,200,200,200,200,200,200,200,200,10,0,85,108.71997000140254,28.423100004147273,202.34390000405256,332.4
1787087949,20,,Aggregated,0.000000,0.000000,69,110,120,130,190,200,200,200,200,200,200,26,0,68,83.72695384633306,8.548300000256859,202.34390000405256,957.7692307692307
1787087950,30,,Aggregated,0.000000,0.000000,58,90,120,130,180,200,220,230,230,230,230,51,0,58,80.29549411802174,7.539600002928637,228.70140000304673,1714.8431372549019
1787087951,40,,Aggregated,5.000000,0.000000,53,90,110,130,160,190,220,230,230,230,230,81,0,53,74.48436049377995,7.539600002928637,228.70140000304673,2626.5308641975307
1787087952,50,,Aggregated,9.333333,0.000000,68,110,140,150,200,210,240,250,300,300,300,125,0,68,86.01258080010302,7.539600002928637,300.6926999951247,2900.912
1787087953,60,,Aggregated,14.750000,0.000000,77,120,150,180,220,300,330,400,400,400,400,174,0,77,103.04707988534469,7.539600002928637,401.8992000055732,2611.4137931034484
1787087954,70,,Aggregated,19.400000,0.000000,86,150,200,220,300,370,420,470,510,510,510,234,0,85,126.4284158121291,6.993499999225605,512.832399996114,2811.880341880342
1787087955,80,,Aggregated,23.333333,0.000000,91,160,210,250,330,400,430,470,510,510,510,299,0,91,134.75189699024259,6.993499999225605,512.832399996114,2787.0
1787087956,90,,Aggregated,26.714286,0.000000,90,180,240,270,330,400,420,450,510,510,510,368,0,86,139.24524782631758,6.993499999225605,512.832399996114,2795.1603260869565
1787087957,100,,Aggregated,31.375000,0.000000,95,190,250,300,390,470,570,620,740,740,740,440,0,94,156.83808340932458,6.993499999225605,739.5801000020583,2804.086363636364
1787087958,100,,Aggregated,35.222222,0.000000,94,200,280,330,510,660,710,720,760,760,760,515,0,94,183.52869087397866,6.993499999225605,758.3096999951522,2779.6485436893204
1787087959,100,,Aggregated,38.500000,0.000000,95,220,310,380,600,670,710,720,790,790,790,586,0,95,200.38275119469654,6.993499999225605,787.0136999990791,2795.759385665529
1787087960,100,,Aggregated,46.200000,0.000000,95,240,340,460,610,670,700,720,790,790,790,660,0,95,212.6503598486703,6.993499999225605,787.0136999990791,2796.8939393939395
1787087961,100,,Aggregated,52.400000,0.000000,98,260,400,520,610,660,710,720,790,790,790,744,0,98,222.13145833345436,6.993499999225605,787.0136999990791,2815.8776881720432
1787087962,100,,Aggregated,58.400000,0.000000,100,270,450,520,610,660,700,720,790,790,790,819,0,100,227.82950793661146,6.993499999225605,787.0136999990791,2788.4151404151403
1787087963,100,,Aggregated,62.500000,0.000000,100,300,470,520,610,660,690,720,790,790,790,900,0,99,230.7074154445662,6.993499999225605,787.0136999990791,2845.6433333333334
1787087964,100,,Aggregated,66.600000,0.000000,100,310,460,520,610,650,690,720,790,790,790,979,0,100,230.48792900931102,6.993499999225605,787.0136999990791,2819.2216547497446
1787087965,100,,Aggregated,70.100000,0.000000,110,320,450,510,600,650,690,720,760,790,790,1063,0,110,230.88431768588472,6.993499999225605,787.0136999990791,2830.2699905926625
1787087966,100,,Aggregated,73.500000,0.000000,110,330,460,510,600,650,690,720,760,790,790,1139,0,110,234.41352730475776,6.993499999225605,787.0136999990791,2799.01580333626
